name,year,director,pic_sm,pic_lg,trailer,description
Rápido y furioso. (The Fast and the Furious),2001,Rob Cohen, Vin Diesel, Justin Lin, David Leitch, James Wan, F. Gary Gray, Philip Atwell, John Singleton.,foto-chica-1.jpg,foto-grande-1.jpg,https://youtu.be/ZkGaAe7zVI0,"La saga se inicia con The Fast and the Furious (2001), con un joven oficial de policía Brian O'Conner (Paul Walker) con la ayuda del FBI, entra en el mundo del tunning para desenmascarar las carreras ilegales de Dominic Toretto (Vin Diesel), pero todo se complica cuando se enamora de su hermana Mia Toretto (Jordana Brewster).
Dominic «Dom» Toretto, corredor y exconvicto, y los miembros de su equipo al volante de tres Honda Civic EJ1 Turbo 1995 negros: Jesse (Chad Lindberg), Leon (Johnny Strong), Vince (Matt Schulze) y su novia Letty (Michelle Rodriguez) perpetran una serie de secuestros de camiones semi-remolque a alta velocidad, llevándose más de USD 6 000 000 en mercancía."

Más rápido, Más furioso. ( 2 Fast 2 Furious),2003,John Singleton,foto-chica-2.jpg,foto-grande-2.jpg,https://youtu.be/ZZGkV_xWGw4,"Al dejar escapar a Toretto, Brian O'Conner se muda a Miami, donde luego, es capturado por la policía, la cual borrará sus antecedentes a cambio de encarcelar a Carter Verone (Cole Hauser), con la ayuda de su amigo de la infancia Roman "Rome" Pearce (Tyrese Gibson) (el cual accede al mismo trato que Brian) y Mónica Fuentes (Eva Mendes) (quien es Agente de Aduanas encubierta, y supuesta esposa de Verone). Brian y Rome finalmente logran encarcelar a Verone, y quedan libres de antecedentes, por lo que Brian decide abrir un garaje con Rome, idea que cambia un año después cuando Brian se une al FBI."

Rápido y furioso 3: reto Tokio. (The Fast and the Furious: Tokyo Drift),2006,Justin Lin,foto-chica-3.jpg,foto-grande-3.jpg,https://youtu.be/p8HQ2JLlc4E,"Cuenta la historia de Sean Boswell (Lucas Black) que para que no lo metan en la cárcel se muda con su padre a Tokio donde conoce a Han Seoul Oh (Sung Kang), el exmiembro de la banda de Toretto y parte de su familia, y a Twinkie (Bow Wow), y se enamora de Neela (Nathalie Kelley). Hay una gran rivalidad con un sobrino de los Yakuza, Takashi («DK»: «Drift King») (Brian Tee), el cual se enfurece con Han al creerlo un traidor que según «DK» les estaba robando y acaba corriendo una carrera con Sean para saber quien se va de la ciudad, la cual gana Sean. Sean conoce a Toretto en la última escena de esta película, donde Dom dice que conocía a Han, ya que él y Dom eran como familia. Se da a entender que Toretto viene a buscar información sobre la muerte de su amigo. Esta película toma lugar después de los eventos de Fast & Furious 6, donde se revela que Deckard Shaw fue quien asesinó a Han para buscar venganza por dejar inconsciente a su hermano, Owen."

Rápidos y furiosos 4: Aún más rápido. (Fast & Furious),2009,Rob Cohen,foto-chica-4.jpg,foto-grande-4.jpg,https://youtu.be/YXZjANEY6bA,"Toretto había huido a República Dominicana donde corría y robaba junto a Han (Sung Kang), Rico Santos (Don Omar), Tego Leo (Tego Calderón) y a su novia, Leticia «Letty» Ortiz (Michelle Rodríguez). Luego Toretto huye a Panamá. Al inicio Han toma protagonismo, haciendo referencia a marcharse a Tokio porque están armando algo grande. Luego regresamos a los protagonistas donde Letty al final vuelve a Los Angeles para colaborar junto a Brian O'Conner en la detención de Arturo Braga, pero ella es asesinada. Si bien nunca se ve a Letty muerta en toda la película, en un momento, todos los personajes acuden a su supuesto velatorio, incluido Dom, aunque lo hace desde una distancia prudencial para evitar ser visto por el FBI que acudió al velatorio en su búsqueda. Toretto vuelve para vengar su muerte y matar a Braga. Al final resurge la amistad de Dom y Brian."

Rápidos y furiosos: 5in control.  (Fast Five),2011,Justin Lin,foto-chica-5.jpg,foto-grande-5.jpg,https://youtu.be/mw2AqdB5EVA,"En esta película, la banda deben huir del cazador Luke Hobbs (Dwayne Johnson) y Elena Neves (Elsa Pataky). También arman un equipo, integrado por Dominic Toretto (Vin Diesel), Brian O'Conner (Paul Walker), Roman Pearce (Tyrese Gibson), Tej Parker (Chris Bridges), Gisele Yashar (Gal Gadot), Han Lue (Sung Kang), Leo Tego (Tego Calderón) y Rico Santos (Don Omar) para robar el dinero de un traficante y multimillonario de Río. Luego de que salga todo con éxito, se quedan con el dinero y terminan siendo todos «adinerados». Al final, en la escena post-créditos, se ve una escena donde entra Mónica Fuentes (Eva Mendez), se queda en frente de la mesa de Luke Hobbs (Dwayne Johnson), le revela una noticia sobre unos atracos y éste pregunta si es Toretto, ella responde que no, él a continuación dice que no le interesa, ella abre una carpeta diciéndole que vea la documentación y aparece una foto de «Letty», lo que da a entender que no murió."

